16777216,16777471,17
16777472,16778239,49
16778240,16779263,17
16779264,16781311,47667
16781312,16785407,14614
16785408,16793599,47667
16793600,16809983,69710
16809984,16811519,209
16811520,16811775,22537
16811776,16816895,209
16816896,16817151,111885
16817152,16820735,209
16820736,16821247,22537
16821248,16821759,209
16821760,16822015,22537
16822016,16822783,209
16822784,16823039,22537
16823040,16836351,209
16836352,16836607,195756
16836608,16839423,209
16839424,16839679,195756
16839680,16842751,209
16842752,16843007,49
16843008,16843263,17
16843264,16843775,49
16843776,16844799,104084
16844800,16859135,47667
16859136,16875519,14614
16875520,16879615,209
16879616,16879871,217397
16879872,16885503,209
16885504,16885759,186242
16885760,16887551,209
16887552,16887807,217397
16887808,16888063,450721
16888064,16888575,209
16888576,16888831,22537
16888832,16894719,209
16894720,16894975,111753
16894976,16895999,209
16896000,16896255,22537
16896256,16899071,209
16899072,16899327,152101
16899328,16902143,209
16902144,16902399,449877
16902400,16908287,209
16908288,16909055,49
16909056,16909311,17
16909312,16909567,49
16909568,16910335,104084
16910336,16910591,49
16910592,16941055,47667
16941056,16947199,209
16947200,16947455,449901
16947456,16950783,209
16950784,16951039,449901
16951040,16971775,209
16971776,16972031,534951
16972032,16973823,209
16973824,17039359,47667
17039360,17039615,17
17039616,17041407,49
17041408,17072127,47667
17072128,17072639,209
17072640,17072895,525812
17072896,17073407,209
17073408,17073663,525812
17073664,17080575,209
17080576,17080831,125428
17080832,17081087,161803
17081088,17081343,209
17081344,17081599,125428
17081600,17084159,209
17084160,17084415,161803
17084416,17084671,209
17084672,17084927,125428
17084928,17085183,209
17085184,17085439,161803
17085440,17086975,209
17086976,17087231,161803
17087232,17087487,209
17087488,17087743,125428
17087744,17087999,161803
17088000,17092351,209
17092352,17092607,125428
17092608,17095679,209
17095680,17095935,152362
17095936,17096191,209
17096192,17096447,152362
17096448,17097471,209
17097472,17097727,207395
17097728,17104895,209
17104896,17170431,14614
17170432,17301503,103
17301504,17367039,24328
17367040,17371647,108287
17371648,17371903,23797
17371904,17372415,108287
17372416,17372671,460615
17372672,17373183,108287
17373184,17373439,460615
17373440,17373951,108287
17373952,17374207,460476
17374208,17375487,108287
17375488,17375743,476171
17375744,17378815,108287
17378816,17379071,23797
17379072,17379327,108287
17379328,17379583,341457
